iter	Passed	Remaining
0	3	1736
1	6	1694
2	9	1563
3	12	1520
4	14	1481
5	18	1490
6	22	1556
7	25	1562
8	28	1527
9	30	1511
10	33	1501
11	37	1511
12	40	1517
13	43	1508
14	45	1485
15	49	1484
16	52	1490
17	55	1478
18	57	1464
19	61	1466
20	64	1463
21	67	1462
22	70	1464
23	73	1454
24	75	1441
25	78	1438
26	82	1444
27	85	1442
28	88	1435
29	91	1433
30	94	1430
31	98	1439
32	101	1441
33	105	1442
34	107	1433
35	111	1432
36	114	1430
37	117	1425
38	120	1426
39	123	1421
40	127	1422
41	130	1421
42	133	1417
43	136	1411
44	139	1406
45	142	1411
46	145	1405
47	149	1405
48	151	1398
49	155	1395
50	158	1399
51	162	1395
52	164	1389
53	167	1386
54	170	1381
55	174	1381
56	177	1378
57	180	1373
58	182	1365
59	185	1362
60	189	1362
61	192	1359
62	195	1356
63	198	1351
64	201	1347
65	205	1348
66	208	1344
67	210	1339
68	213	1334
69	217	1338
70	221	1338
71	224	1333
72	227	1330
73	230	1324
74	234	1327
75	237	1323
76	240	1318
77	243	1314
78	246	1313
79	250	1314
80	253	1309
81	255	1304
82	258	1299
83	261	1295
84	266	1300
85	270	1299
86	273	1298
87	277	1297
88	280	1295
89	283	1291
90	286	1285
91	289	1282
92	292	1278
93	296	1278
94	298	1273
95	301	1269
96	305	1268
97	308	1266
98	311	1262
99	314	1256
100	316	1251
101	320	1251
102	323	1248
103	326	1244
104	330	1241
105	332	1237
106	336	1236
107	339	1233
108	342	1228
109	345	1225
110	349	1223
111	352	1220
112	355	1216
113	358	1213
114	361	1210
115	365	1209
116	369	1208
117	371	1203
118	374	1199
119	377	1195
120	380	1192
121	384	1190
122	387	1187
123	390	1182
124	392	1178
125	396	1176
126	399	1173
127	402	1170
128	405	1166
129	409	1164
130	412	1162
131	416	1160
132	418	1156
133	421	1152
134	424	1148
135	428	1147
136	431	1143
137	434	1139
138	436	1134
139	440	1131
140	443	1130
141	447	1127
142	450	1123
143	452	1118
144	455	1115
145	459	1114
146	462	1110
147	465	1106
148	468	1103
149	471	1099
150	475	1098
151	478	1095
152	481	1091
153	484	1088
154	488	1086
155	491	1084
156	494	1080
157	497	1076
158	500	1072
159	505	1073
160	508	1070
161	511	1066
162	514	1063
163	517	1059
164	520	1057
165	521	1049
166	525	1047
167	527	1043
168	531	1040
169	535	1039
170	539	1037
171	542	1034
172	545	1030
173	548	1028
174	552	1025
175	555	1021
176	558	1018
177	560	1014
178	564	1012
179	567	1009
180	570	1005
181	573	1002
182	576	998
183	579	995
184	583	993
185	586	989
186	589	985
187	591	982
188	595	980
189	598	977
190	602	974
191	605	970
192	607	966
193	611	964
194	614	961
195	617	958
196	620	954
197	623	951
198	627	948
199	629	944
200	632	941
201	635	937
202	638	933
203	642	932
204	645	928
205	647	924
206	651	921
207	653	917
208	657	915
209	660	912
210	663	908
211	666	905
212	669	901
213	672	899
214	675	895
215	678	891
216	681	888
217	684	885
218	688	883
219	691	879
220	693	876
221	696	872
222	701	870
223	704	868
224	708	865
225	711	862
226	714	859
227	718	857
228	721	854
229	724	850
230	727	847
231	731	844
232	734	841
233	737	838
234	740	835
235	743	831
236	746	828
237	750	826
238	753	822
239	755	818
240	759	815
241	762	812
242	765	809
243	768	806
244	771	802
245	774	799
246	777	796
247	780	793
248	783	789
249	786	786
250	789	783
251	792	780
252	796	777
253	799	774
254	802	771
255	805	768
256	809	765
257	812	761
258	815	758
259	818	755
260	821	751
261	824	748
262	827	746
263	830	742
264	838	743
265	846	744
266	853	744
267	858	743
268	861	740
269	868	739
270	872	736
271	875	733
272	878	730
273	881	726
274	884	723
275	888	720
276	891	717
277	894	714
278	897	711
279	901	707
280	904	704
281	906	701
282	909	697
283	912	694
284	916	691
285	919	688
286	922	684
287	925	681
288	929	678
